identifier	precursor_charge	precursor_mz	retention_time	cluster	filename	scan
mzspec:USI000000:EK_Q_07:scan:151	2	617.811401367188	13.578539	1804	EK_Q_07.mzML	151
mzspec:USI000000:EK_Q_07:scan:200	6	313.310455322266	13.689229	5033	EK_Q_07.mzML	200
mzspec:USI000000:EK_Q_07:scan:1212	3	304.928161621094	15.490748	3473	EK_Q_07.mzML	1212
mzspec:USI000000:EK_Q_07:scan:1607	3	418.231506347656	16.055501	3695	EK_Q_07.mzML	1607
mzspec:USI000000:EK_Q_07:scan:1814	3	304.929565429688	16.367159	3473	EK_Q_07.mzML	1814
mzspec:USI000000:EK_Q_07:scan:2276	6	304.930480957031	17.045912	5032	EK_Q_07.mzML	2276
mzspec:USI000000:EK_Q_07:scan:2631	3	429.088195800781	17.658042	3734	EK_Q_07.mzML	2631
mzspec:USI000000:EK_Q_07:scan:2768	3	481.834930419922	17.946059	3943	EK_Q_07.mzML	2768
mzspec:USI000000:EK_Q_07:scan:2812	2	667.177185058594	18.063784	2152	EK_Q_07.mzML	2812
mzspec:USI000000:EK_Q_07:scan:2924	2	304.930053710938	18.284862	2	EK_Q_07.mzML	2924
mzspec:USI000000:EK_Q_07:scan:2972	3	503.578399658203	18.377766	4034	EK_Q_07.mzML	2972
mzspec:USI000000:EK_Q_07:scan:3144	2	578.317321777344	18.745698	1471	EK_Q_07.mzML	3144
mzspec:USI000000:EK_Q_07:scan:3246	3	418.902954101563	19.015698	3698	EK_Q_07.mzML	3246
mzspec:USI000000:EK_Q_07:scan:3263	2	610.184020996094	19.066869	1753	EK_Q_07.mzML	3263
mzspec:USI000000:EK_Q_07:scan:3306	6	304.929077148438	19.160896	5032	EK_Q_07.mzML	3306
mzspec:USI000000:EK_Q_07:scan:3339	2	481.752258300781	19.238667	634	EK_Q_07.mzML	3339
mzspec:USI000000:EK_Q_07:scan:3543	2	598.856689453125	19.882718	1667	EK_Q_07.mzML	3543
mzspec:USI000000:EK_Q_07:scan:3660	3	503.575622558594	20.310231	4034	EK_Q_07.mzML	3660
mzspec:USI000000:EK_Q_07:scan:3678	3	594.2974	20.369387	4336	EK_Q_07.mzML	3678
mzspec:USI000000:EK_Q_07:scan:3688	2	471.789428710938	20.412158	542	EK_Q_07.mzML	3688
mzspec:USI000000:EK_Q_07:scan:3700	2	667.177185058594	20.448865	2152	EK_Q_07.mzML	3700
mzspec:USI000000:EK_Q_07:scan:3729	3	424.250885009766	20.567617	3711	EK_Q_07.mzML	3729
mzspec:USI000000:EK_Q_07:scan:3766	3	524.566772460938	20.751248	4100	EK_Q_07.mzML	3766
mzspec:USI000000:EK_Q_07:scan:3785	2	631.361633300781	20.812257	1917	EK_Q_07.mzML	3785
mzspec:USI000000:EK_Q_07:scan:3909	2	641.315979003906	21.048907	1994	EK_Q_07.mzML	3909
mzspec:USI000000:EK_Q_07:scan:3935	2	566.793212890625	21.162222	1353	EK_Q_07.mzML	3935
mzspec:USI000000:EK_Q_07:scan:3936	3	368.2177	21.171032	3553	EK_Q_07.mzML	3936
mzspec:USI000000:EK_Q_07:scan:3942	2	708.360656738281	21.200647	2435	EK_Q_07.mzML	3942
mzspec:USI000000:EK_Q_07:scan:3943	2	329.004974365234	21.209457	20	EK_Q_07.mzML	3943
mzspec:USI000000:EK_Q_07:scan:3951	2	562.816528320313	21.252132	1325	EK_Q_07.mzML	3951
mzspec:USI000000:EK_Q_07:scan:3952	2	660.831909179688	21.260961	2121	EK_Q_07.mzML	3952
mzspec:USI000000:EK_Q_07:scan:3982	3	498.244354248047	21.374718	4007	EK_Q_07.mzML	3982
