cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	RTMean	component	SpectrumID	Compound_Name	Ion_Source	Instrument	Compound_Source	PI	Data_Collector	Adduct	Precursor_MZ	ExactMass	Charge	CAS_Number	Pubmed_ID	Smiles	INCHI	INCHI_AUX	Library_Class	IonMode	UpdateWorkflowName	LibraryQualityString	#Scan#	SpectrumFile	LibraryName	MQScore	Organism	TIC_Query	RT_Query	MZErrorPPM	SharedPeaks	MassDiff	LibMZ	SpecMZ	SpecCharge	FileScanUniqueID	NumberHits	tags	molecular_formula	InChIKey	InChIKey-Planar	superclass	class	subclass	npclassifier_superclass	npclassifier_class	npclassifier_pathway
3	6	903.578	3	301.859	3066730.0	24.89322222222222	-1																																													
4	9	1213.71	4	304.179	1665310.0	17.78159259259259	2339																																													
5	2	1214.72	4	304.43	330061.0	17.6375	2339																																													
7	11	608.385	2	304.692	14251500.0	64.32653030303031	-1																																													
8	62	912.775	3	304.925	6033410.0	21.48954731182796	2339																																													
10	6	1220.75	4	305.937	1961550.0	18.608916666666666	395																																													
11	3	1221.75	4	306.189	1045590.0	18.59027777777777	395																																													
12	47	918.784	3	306.928	3759240.0	14.824753191489362	1545																																													
14	17	613.341	2	307.17	8516690.0	64.33591176470588	210																																													
15	22	919.729	3	307.243	1739270.0	16.218222727272728	1545																																													
16	3	921.481	3	307.827	1096590.0	30.19377777777778	-1																																													
17	19	922.57	3	308.19	5273370.0	20.930982456140352	-1																																													
18	13	924.685	3	308.895	1360450.0	26.107358974358974	947																																													
19	16	925.612	3	309.204	1913610.0	18.70779166666667	947																																													
20	206	925.666	3	309.222	15369200.0	17.700667394822005	947																																													
21	3	1234.69	4	309.423	390634.0	19.476388888888888	4379																																													
22	5	1234.69	4	309.423	1573220.0	19.42353333333333	4379																																													
23	16	928.561	3	310.187	4911890.0	23.19889583333333	-1																																													
24	3	621.317	2	311.158	704965.0	33.44672222222223	-1																																													
25	11	933.529	3	311.843	5019930.0	22.84109090909091	3422																																													
26	2	934.534	3	312.178	520379.0	22.79625	3422																																													
29	14	1561.88	5	313.176	6658310.0	34.89503571428572	-1																																													
31	13	625.413	2	313.206	15589200.0	64.32715384615385	-1																																													
32	14	1874.82	6	313.304	1642770.0	17.10307023809524	-1																																													
33	2	939.565	3	313.855	605281.0	24.43241666666667	-1																																													
34	3	1252.67	4	313.919	892477.0	16.177472222222224	3729																																													
35	2	1253.68	4	314.17	477865.0	16.11414166666667	3729																																													
37	16	942.574	3	314.858	3164620.0	21.18771875	-1																																													
38	4	629.327	2	315.163	2177350.0	82.71041666666666	4706																																													
39	10	943.57	3	315.19	2674440.0	24.6337	-1																																													
40	15	630.367	2	315.683	9381300.0	64.31067777777778	210																																													
41	2	945.436	3	315.812	534565.0	32.79233333333333	-1																																													
42	4	631.355	2	316.177	1344810.0	62.801833333333335	1624																																													
44	11	633.435	2	317.217	2261160.0	37.20706060606061	3667																																													
45	9	635.323	2	318.161	2806980.0	64.36253703703704	-1																																													
