CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
18547	18581	1	0.9444	-1.002
18547	18592	1	0.8134	-1.989
18581	18592	1	0.8526	-0.987
34596	34603	2	0.9381	-1.005
24705	27492	3	0.7245	-215.12
24713	27492	3	0.7543	-214.13
27467	27492	3	0.9223	-2.015
27477	27492	3	0.9264	-0.995
24705	27467	3	0.7188	-213.105
27467	27477	3	0.9096	-1.02
24705	24713	3	0.9078	-0.99
24705	27477	3	0.7276	-214.125
35336	35347	3	0.8931	-1.004
24713	27477	3	0.7434	-213.135
24713	35347	3	0.7315	-1.015
1640	2040	4	0.718	-52.086
2034	2040	4	0.9121	-1.005
1640	1642	4	0.7605	445.294
35539	35550	5	0.9289	-1.005
35539	35559	5	0.8414	-2.007
35550	35559	5	0.86	-1.002
2370	2390	6	0.869	-1.005
29189	29560	7	0.882	-18.036
29210	29560	7	0.899	-17.031
29189	29210	7	0.9763	-1.005
38616	38727	8	0.7435	-36.98
38620	38727	8	0.7597	-35.984
38655	38727	8	0.7628	-18.952
38668	38727	8	0.8648	-15.984
38727	38729	8	0.8776	-0.996
38727	38732	8	0.817	-2.036
38727	40094	8	0.7	37.988
38727	40096	8	0.7243	36.986
38609	38651	8	0.861	-18.016
38616	38651	8	0.869	-17.032
38620	38651	8	0.8243	-16.036
38647	38651	8	0.7557	-1.004
38648	38651	8	0.9495	-1.0
38650	38651	8	0.7491	-0.016
38651	38655	8	0.8416	-0.996
38651	38708	8	0.8918	-16.032
38651	38732	8	0.7414	-21.984
38651	40094	8	0.7284	18.04
38609	38620	8	0.886	-1.98
38616	38620	8	0.9	-0.996
38620	38621	8	0.7182	-0.02
38620	38655	8	0.776	-17.032
38620	40093	8	0.7349	2.982
38620	40094	8	0.7914	2.004
38620	40096	8	0.778	1.002
38620	40099	8	0.7183	-15.051
38609	38616	8	0.9091	-0.984
38616	38648	8	0.7885	-16.032
38616	38655	8	0.7933	-18.028
38616	40093	8	0.7742	1.986
38616	40094	8	0.8067	1.008
38616	40096	8	0.8074	0.006
38616	40099	8	0.7338	-16.047
38647	38650	8	0.8485	-0.988
38648	38650	8	0.7547	-0.984
38650	38655	8	0.7688	-1.012
38650	38708	8	0.7621	-16.048
38650	38732	8	0.706	-22.0
38609	38648	8	0.85	-17.016
38647	38648	8	0.7486	-0.004
38648	38655	8	0.8482	-1.996
38648	38708	8	0.957	-17.032
38648	38732	8	0.713	-22.984
38648	40094	8	0.7171	17.04
38647	38655	8	0.7747	-2.0
38655	38708	8	0.8346	-15.036
38655	38729	8	0.756	-19.948
38655	38732	8	0.8307	-20.988
38609	38708	8	0.7975	-34.048
38647	38708	8	0.7599	-17.036
38668	38732	8	0.8032	-18.02
38729	38732	8	0.8227	-1.04
38668	38729	8	0.7677	-16.98
38729	40093	8	0.7058	39.962
38609	40099	8	0.7363	-17.031
40093	40099	8	0.8788	-18.033
40094	40099	8	0.9222	-17.055
40096	40099	8	0.8779	-16.053
40099	40100	8	0.7201	-1.002
40096	40100	8	0.7124	-17.056
38609	40094	8	0.7889	0.024
40093	40094	8	0.8739	-0.978
40094	40096	8	0.9134	-1.002
38609	40093	8	0.785	1.002
38609	40096	8	0.753	-0.978
40093	40096	8	0.8552	-1.98
25242	25282	9	0.9182	-2.013
25263	25282	9	0.8584	-1.008
25242	25263	9	0.9609	-1.005
9815	9832	10	0.9048	-1.002
17060	17062	11	0.8481	-0.006
17062	17091	11	0.8496	-1.002
17062	17110	11	0.8262	-2.004
17062	17522	11	0.86	-17.019
17062	17550	11	0.8548	-18.018
17060	17091	11	0.9739	-1.008
17091	17110	11	0.9781	-1.002
17091	17522	11	0.9362	-16.017
17091	17550	11	0.9186	-17.016
17060	17110	11	0.9531	-2.01
17110	17522	11	0.9305	-15.015
17110	17550	11	0.9096	-16.014
17060	17522	11	0.9354	-17.025
17060	17550	11	0.9165	-18.024
17522	17550	11	0.9298	-0.999
10410	10435	12	0.9715	-1.005
21764	21797	13	0.9328	-0.996
38997	39001	14	0.7679	-0.981
38998	39001	14	0.7459	-0.012
39001	39004	14	0.9078	-0.993
39001	39007	14	0.8547	-1.995
37231	37237	14	0.9034	-1.02
37237	37242	14	0.9222	-0.993
37237	37247	14	0.8198	-1.938
37237	37391	14	0.8913	-17.019
37237	37398	14	0.8892	-18.021
37237	38614	14	0.7802	-227.148
37418	37430	14	0.7877	-1.971
37430	39157	14	0.7368	-342.153
38995	38999	14	0.8456	-1.002
38996	38999	14	0.797	-0.966
38997	38999	14	0.7676	-0.969
39004	39066	14	0.9038	-16.008
39057	39066	14	0.9625	-0.984
39066	39068	14	0.9892	-1.005
39066	39074	14	0.9775	-2.004
39066	39079	14	0.9329	-3.009
39066	39119	14	0.9333	-16.035
39066	39126	14	0.9481	-17.028
39066	39130	14	0.9516	-18.036
39066	39133	14	0.9427	-19.029
39066	39137	14	0.9065	-20.025
38988	38996	14	0.713	-1.014
39079	39086	14	0.8814	-1.02
39084	39086	14	0.8421	-0.021
39086	39137	14	0.8838	-15.996
39086	39143	14	0.8058	-17.976
39057	39126	14	0.9293	-18.012
39068	39126	14	0.9576	-16.023
39074	39126	14	0.9429	-15.024
39079	39126	14	0.8976	-14.019
39119	39126	14	0.9658	-0.993
39126	39130	14	0.9775	-1.008
39126	39133	14	0.9752	-2.001
39126	39137	14	0.9136	-2.997
37391	39126	14	0.8936	-341.157
39004	39007	14	0.8758	-1.002
39004	39057	14	0.8818	-15.024
39004	39068	14	0.9059	-17.013
39004	39074	14	0.9102	-18.012
37242	39004	14	0.8444	-324.147
