CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
38268	38276	-2.012	0.000	0.7846	0.6787	1
38268	38277	-3.032	0.000	0.7054	0.5887	1
38274	38279	-1.000	0.000	0.9747	0.9193	1
38276	38277	-1.020	0.000	0.7941	0.6977	1
38283	38291	-0.992	0.000	0.9192	0.8595	1
38283	38304	-1.984	0.000	0.7494	0.6393	1
38287	38288	0.003	0.000	0.8273	0.6126	1
38287	38297	-0.993	0.000	0.8294	0.6080	1
38287	38300	1144.585	0.000	0.7376	0.5724	1
38287	38309	-1.986	0.000	0.8338	0.6094	1
38287	38314	-2.967	0.000	0.7473	0.5658	1
38287	38362	-17.997	0.000	0.8582	0.6690	1
38288	38297	-0.996	0.000	0.9181	0.8687	1
38288	38309	-1.989	0.000	0.8884	0.7957	1
38288	38314	-2.970	0.000	0.7841	0.6260	1
38288	38362	-18.000	0.000	0.8669	0.7181	1
38291	38304	-0.992	0.000	0.7846	0.6801	1
38292	38293	-0.003	0.000	0.7826	0.5885	1
38292	38305	-0.999	0.000	0.8487	0.6779	1
38292	38306	-1.011	0.000	0.8414	0.6421	1
38293	38306	-1.008	0.000	0.7182	0.5666	1
38297	38309	-0.993	0.000	0.8812	0.7940	1
38297	38314	-1.974	0.000	0.8576	0.7009	1
38297	38362	-17.004	0.000	0.9032	0.7531	1
38299	38301	-0.006	0.000	0.8841	0.6040	1
38305	38306	-0.012	0.000	0.8448	0.6015	1
38309	38314	-0.981	0.000	0.8502	0.7094	1
38309	38362	-16.011	0.000	0.8912	0.7457	1
38314	38362	-15.030	0.000	0.8488	0.7170	1
38338	38344	-1.005	0.000	0.9288	0.8814	1
38347	38350	-1.004	0.000	0.9452	0.8683	1
38356	38442	-18.024	0.000	0.7048	0.6272	1
38361	38372	-1.006	0.000	0.9547	0.8788	1
38368	38377	-0.990	0.000	0.9683	0.8915	1
38368	38384	-1.989	0.000	0.9342	0.8040	1
38368	38385	-1.986	0.000	0.9333	0.8305	1
38368	38396	-2.994	0.000	0.7253	0.5516	1
38370	38382	-1.008	0.000	0.9833	0.9332	1
38370	38399	-1.980	0.000	0.8714	0.7412	1
38375	38379	-1.012	0.000	0.7225	0.5736	1
38377	38384	-0.999	0.000	0.9216	0.8410	1
38377	38385	-0.996	0.000	0.9359	0.8669	1
38377	38396	-2.004	0.000	0.7427	0.5506	1
38379	38389	-0.980	0.000	0.8001	0.6969	1
38380	38381	-0.004	0.000	0.9456	0.8339	1
38380	38391	-0.976	0.000	0.9141	0.8020	1
38380	38392	-1.012	0.000	0.9548	0.8199	1
38380	38393	-1.012	0.000	0.9097	0.6542	1
38380	38398	-2.004	0.000	0.9077	0.6588	1
38380	38403	-3.004	0.000	0.8951	0.6858	1
38380	38404	-2.992	0.000	0.8972	0.6475	1
38380	38452	-18.028	0.000	0.9295	0.7282	1
38380	38455	-19.032	0.000	0.9124	0.7007	1
38380	38458	-20.036	0.000	0.8849	0.7010	1
38380	39046	-228.144	0.000	0.7376	0.5356	1
38380	39050	-229.164	0.000	0.8054	0.5978	1
38381	38391	-0.972	0.000	0.9067	0.8057	1
38381	38392	-1.008	0.000	0.9513	0.8487	1
38381	38393	-1.008	0.000	0.9204	0.6979	1
38381	38398	-2.000	0.000	0.9199	0.7103	1
38381	38403	-3.000	0.000	0.8991	0.7236	1
38381	38404	-2.988	0.000	0.9098	0.6894	1
38381	38452	-18.024	0.000	0.9371	0.7708	1
38381	38455	-19.028	0.000	0.9168	0.7409	1
38381	38458	-20.032	0.000	0.8852	0.7286	1
38381	39046	-228.140	0.000	0.7252	0.5137	1
38381	39050	-229.160	0.000	0.8025	0.6137	1
38382	38399	-0.972	0.000	0.7765	0.7007	1
38384	38385	0.003	0.000	0.9304	0.8115	1
38384	38396	-1.005	0.000	0.7139	0.5471	1
38385	38396	-1.008	0.000	0.7230	0.6001	1
38388	38389	0.008	0.000	0.7597	0.5698	1
38391	38392	-0.036	0.000	0.9202	0.7732	1
38391	38393	-0.036	0.000	0.8685	0.6304	1
38391	38398	-1.028	0.000	0.8808	0.6475	1
38391	38403	-2.028	0.000	0.9049	0.7178	1
38391	38404	-2.016	0.000	0.8512	0.6393	1
38391	38428	-5.012	0.000	0.8031	0.6197	1
38391	38452	-17.052	0.000	0.8999	0.7093	1
38391	38455	-18.056	0.000	0.8874	0.6832	1
38391	38458	-19.060	0.000	0.8654	0.6970	1
38391	39046	-227.168	0.000	0.8374	0.6782	1
38391	39050	-228.188	0.000	0.8384	0.6280	1
38392	38393	0.000	0.000	0.9257	0.7166	1
38392	38398	-0.992	0.000	0.9385	0.7420	1
38392	38403	-1.992	0.000	0.9237	0.7539	1
38392	38404	-1.980	0.000	0.9162	0.7238	1
